in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.254E-02,-2.515E-02,2.500E+00
2.00E+00,1.023E+01,-2.408E-02,-3.567E-02,2.500E+00
3.00E+00,1.047E+01,-2.455E-02,-2.322E-02,2.500E+00
4.00E+00,1.072E+01,-2.397E-02,-2.502E-02,2.500E+00
5.00E+00,1.096E+01,-2.213E-02,-2.296E-02,2.500E+00
6.00E+00,1.122E+01,-2.206E-02,-1.926E-02,2.500E+00
7.00E+00,1.148E+01,-2.420E-02,-2.794E-02,2.500E+00
8.00E+00,1.175E+01,-2.130E-02,-2.458E-02,2.500E+00
9.00E+00,1.202E+01,-2.422E-02,-2.315E-02,2.500E+00
1.00E+01,1.230E+01,-2.243E-02,-2.029E-02,2.500E+00
1.10E+01,1.259E+01,-2.244E-02,-2.399E-02,2.500E+00
1.20E+01,1.288E+01,-2.203E-02,-3.292E-02,2.500E+00
1.30E+01,1.318E+01,-2.037E-02,-1.900E-02,2.500E+00
1.40E+01,1.349E+01,-2.231E-02,-2.970E-02,2.500E+00
1.50E+01,1.380E+01,-2.233E-02,-2.165E-02,2.500E+00
1.60E+01,1.413E+01,-2.316E-02,-3.320E-02,2.500E+00
1.70E+01,1.445E+01,-2.495E-02,-3.444E-02,2.500E+00
1.80E+01,1.479E+01,-2.328E-02,-1.508E-02,2.500E+00
1.90E+01,1.514E+01,-2.228E-02,-2.390E-02,2.500E+00
2.00E+01,1.549E+01,-2.023E-02,-3.091E-02,2.500E+00
2.10E+01,1.585E+01,-2.110E-02,-2.128E-02,2.500E+00
2.20E+01,1.622E+01,-2.219E-02,-2.696E-02,2.500E+00
2.30E+01,1.660E+01,-2.277E-02,-2.057E-02,2.500E+00
2.40E+01,1.698E+01,-2.152E-02,-1.797E-02,2.500E+00
2.50E+01,1.738E+01,-2.145E-02,-2.654E-02,2.500E+00
2.60E+01,1.778E+01,-2.351E-02,-3.292E-02,2.500E+00
2.70E+01,1.820E+01,-2.400E-02,-2.307E-02,2.500E+00
2.80E+01,1.862E+01,-2.357E-02,-2.343E-02,2.500E+00
2.90E+01,1.905E+01,-2.335E-02,-3.511E-02,2.500E+00
3.00E+01,1.950E+01,-2.180E-02,-3.387E-02,2.500E+00
3.10E+01,1.995E+01,-2.390E-02,-2.908E-02,2.500E+00
3.20E+01,2.042E+01,-2.229E-02,-2.087E-02,2.500E+00
3.30E+01,2.089E+01,-2.367E-02,-3.069E-02,2.500E+00
3.40E+01,2.138E+01,-2.266E-02,-3.307E-02,2.500E+00
3.50E+01,2.188E+01,-2.246E-02,-2.740E-02,2.500E+00
3.60E+01,2.239E+01,-2.016E-02,-3.498E-02,2.500E+00
3.70E+01,2.291E+01,-2.170E-02,-2.486E-02,2.500E+00
3.80E+01,2.344E+01,-2.228E-02,-2.413E-02,2.500E+00
3.90E+01,2.399E+01,-2.115E-02,-3.365E-02,2.500E+00
4.00E+01,2.455E+01,-2.326E-02,-3.713E-02,2.500E+00
4.10E+01,2.512E+01,-2.375E-02,-3.649E-02,2.500E+00
4.20E+01,2.570E+01,-2.532E-02,-2.823E-02,2.500E+00
4.30E+01,2.630E+01,-2.369E-02,-2.134E-02,2.500E+00
4.40E+01,2.692E+01,-2.048E-02,-2.521E-02,2.500E+00
4.50E+01,2.754E+01,-2.232E-02,-3.441E-02,2.500E+00
4.60E+01,2.818E+01,-2.310E-02,-4.692E-02,2.500E+00
4.70E+01,2.884E+01,-2.167E-02,-3.350E-02,2.500E+00
4.80E+01,2.951E+01,-2.447E-02,-3.165E-02,2.500E+00
4.90E+01,3.020E+01,-2.258E-02,-6.269E-02,2.500E+00
5.00E+01,3.090E+01,-2.459E-02,-5.014E-02,2.500E+00
5.10E+01,3.162E+01,-2.299E-02,-5.649E-02,2.500E+00
5.20E+01,3.236E+01,-2.468E-02,-5.863E-02,2.500E+00
5.30E+01,3.311E+01,-2.282E-02,-6.379E-02,2.500E+00
5.40E+01,3.388E+01,-2.326E-02,-6.937E-02,2.500E+00
5.50E+01,3.467E+01,-2.554E-02,-7.187E-02,2.500E+00
5.60E+01,3.548E+01,-2.257E-02,-6.721E-02,2.500E+00
