in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.657E-01,-2.025E+00,2.500E+00
2.00E+00,1.023E+01,-2.698E-01,-2.055E+00,2.500E+00
3.00E+00,1.047E+01,-2.706E-01,-2.148E+00,2.500E+00
4.00E+00,1.072E+01,-2.667E-01,-2.180E+00,2.500E+00
5.00E+00,1.096E+01,-2.759E-01,-2.227E+00,2.500E+00
6.00E+00,1.122E+01,-2.762E-01,-2.273E+00,2.500E+00
7.00E+00,1.148E+01,-2.732E-01,-2.333E+00,2.500E+00
8.00E+00,1.175E+01,-2.755E-01,-2.366E+00,2.500E+00
9.00E+00,1.202E+01,-2.823E-01,-2.434E+00,2.500E+00
1.00E+01,1.230E+01,-2.806E-01,-2.487E+00,2.500E+00
1.10E+01,1.259E+01,-2.843E-01,-2.557E+00,2.500E+00
1.20E+01,1.288E+01,-2.800E-01,-2.621E+00,2.500E+00
1.30E+01,1.318E+01,-2.835E-01,-2.684E+00,2.500E+00
1.40E+01,1.349E+01,-2.836E-01,-2.732E+00,2.500E+00
1.50E+01,1.380E+01,-2.893E-01,-2.811E+00,2.500E+00
1.60E+01,1.413E+01,-2.903E-01,-2.880E+00,2.500E+00
1.70E+01,1.445E+01,-2.948E-01,-2.940E+00,2.500E+00
1.80E+01,1.479E+01,-2.923E-01,-2.999E+00,2.500E+00
1.90E+01,1.514E+01,-2.921E-01,-3.069E+00,2.500E+00
2.00E+01,1.549E+01,-2.965E-01,-3.139E+00,2.500E+00
2.10E+01,1.585E+01,-2.965E-01,-3.214E+00,2.500E+00
2.20E+01,1.622E+01,-3.002E-01,-3.296E+00,2.500E+00
2.30E+01,1.660E+01,-3.036E-01,-3.373E+00,2.500E+00
2.40E+01,1.698E+01,-3.027E-01,-3.463E+00,2.500E+00
2.50E+01,1.738E+01,-3.057E-01,-3.552E+00,2.500E+00
2.60E+01,1.778E+01,-3.093E-01,-3.615E+00,2.500E+00
2.70E+01,1.820E+01,-3.083E-01,-3.713E+00,2.500E+00
2.80E+01,1.862E+01,-3.140E-01,-3.777E+00,2.500E+00
2.90E+01,1.905E+01,-3.130E-01,-3.892E+00,2.500E+00
3.00E+01,1.950E+01,-3.187E-01,-3.952E+00,2.500E+00
3.10E+01,1.995E+01,-3.199E-01,-4.074E+00,2.500E+00
3.20E+01,2.042E+01,-3.172E-01,-4.148E+00,2.500E+00
3.30E+01,2.089E+01,-3.305E-01,-4.230E+00,2.500E+00
3.40E+01,2.138E+01,-3.318E-01,-4.335E+00,2.500E+00
3.50E+01,2.188E+01,-3.341E-01,-4.446E+00,2.500E+00
3.60E+01,2.239E+01,-3.377E-01,-4.542E+00,2.500E+00
3.70E+01,2.291E+01,-3.404E-01,-4.637E+00,2.500E+00
3.80E+01,2.344E+01,-3.325E-01,-4.756E+00,2.500E+00
3.90E+01,2.399E+01,-3.402E-01,-4.877E+00,2.500E+00
4.00E+01,2.455E+01,-3.457E-01,-4.966E+00,2.500E+00
4.10E+01,2.512E+01,-3.542E-01,-5.080E+00,2.500E+00
4.20E+01,2.570E+01,-3.508E-01,-5.212E+00,2.500E+00
4.30E+01,2.630E+01,-3.585E-01,-5.318E+00,2.500E+00
4.40E+01,2.692E+01,-3.564E-01,-5.454E+00,2.500E+00
4.50E+01,2.754E+01,-3.721E-01,-5.558E+00,2.500E+00
4.60E+01,2.818E+01,-3.664E-01,-5.707E+00,2.500E+00
4.70E+01,2.884E+01,-3.646E-01,-5.846E+00,2.500E+00
4.80E+01,2.951E+01,-3.844E-01,-5.945E+00,2.500E+00
4.90E+01,3.020E+01,-2.431E-01,-7.103E+00,2.500E+00
5.00E+01,3.090E+01,-2.405E-01,-7.266E+00,2.500E+00
5.10E+01,3.162E+01,-2.426E-01,-7.430E+00,2.500E+00
5.20E+01,3.236E+01,-2.502E-01,-7.611E+00,2.500E+00
5.30E+01,3.311E+01,-2.500E-01,-7.773E+00,2.500E+00
5.40E+01,3.388E+01,-2.523E-01,-7.952E+00,2.500E+00
5.50E+01,3.467E+01,-2.554E-01,-8.145E+00,2.500E+00
5.60E+01,3.548E+01,-2.581E-01,-8.321E+00,2.500E+00
5.70E+01,3.631E+01,-2.611E-01,-8.508E+00,2.500E+00
5.80E+01,3.715E+01,-2.655E-01,-8.714E+00,2.500E+00
5.90E+01,3.802E+01,-2.654E-01,-8.894E+00,2.500E+00
6.00E+01,3.890E+01,-2.684E-01,-9.107E+00,2.500E+00
6.10E+01,3.981E+01,-2.706E-01,-9.317E+00,2.500E+00
6.20E+01,4.074E+01,-2.724E-01,-9.527E+00,2.500E+00
6.30E+01,4.169E+01,-2.758E-01,-9.753E+00,2.500E+00
6.40E+01,4.266E+01,-2.820E-01,-9.986E+00,2.500E+00
6.50E+01,4.365E+01,-2.862E-01,-1.023E+01,2.500E+00
6.60E+01,4.467E+01,-2.915E-01,-1.044E+01,2.500E+00
6.70E+01,4.571E+01,-2.978E-01,-1.068E+01,2.500E+00
6.80E+01,4.677E+01,-3.011E-01,-1.094E+01,2.500E+00
6.90E+01,4.786E+01,-3.016E-01,-1.119E+01,2.500E+00
7.00E+01,4.898E+01,-3.091E-01,-1.144E+01,2.500E+00
7.10E+01,5.012E+01,-3.122E-01,-1.171E+01,2.500E+00
7.20E+01,5.129E+01,-3.190E-01,-1.197E+01,2.500E+00
7.30E+01,5.248E+01,-3.239E-01,-1.225E+01,2.500E+00
7.40E+01,5.370E+01,-3.298E-01,-1.252E+01,2.500E+00
7.50E+01,5.495E+01,-3.367E-01,-1.282E+01,2.500E+00
7.60E+01,5.623E+01,-3.407E-01,-1.309E+01,2.500E+00
7.70E+01,5.754E+01,-3.471E-01,-1.339E+01,2.500E+00
7.80E+01,5.888E+01,-3.553E-01,-1.371E+01,2.500E+00
7.90E+01,6.026E+01,-3.633E-01,-1.403E+01,2.500E+00
8.00E+01,6.166E+01,-3.698E-01,-1.435E+01,2.500E+00
8.10E+01,6.310E+01,-3.752E-01,-1.467E+01,2.500E+00
8.20E+01,6.457E+01,-3.812E-01,-1.502E+01,2.500E+00
8.30E+01,6.607E+01,-3.930E-01,-1.534E+01,2.500E+00
8.40E+01,6.761E+01,-4.017E-01,-1.570E+01,2.500E+00
8.50E+01,6.918E+01,-4.083E-01,-1.605E+01,2.500E+00
8.60E+01,7.079E+01,-4.194E-01,-1.642E+01,2.500E+00
8.70E+01,7.244E+01,-4.282E-01,-1.676E+01,2.500E+00
8.80E+01,7.413E+01,-4.390E-01,-1.715E+01,2.500E+00
8.90E+01,7.586E+01,-4.512E-01,-1.757E+01,2.500E+00
9.00E+01,7.762E+01,-4.629E-01,-1.794E+01,2.500E+00
9.10E+01,7.943E+01,-4.718E-01,-1.836E+01,2.500E+00
