in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
8.60E+01,7.079E+01,-2.410E-01,-8.269E+00,2.500E+00
8.70E+01,7.244E+01,-2.446E-01,-8.454E+00,2.500E+00
8.80E+01,7.413E+01,-2.517E-01,-8.647E+00,2.500E+00
8.90E+01,7.586E+01,-2.594E-01,-8.860E+00,2.500E+00
9.00E+01,7.762E+01,-2.653E-01,-9.054E+00,2.500E+00
9.10E+01,7.943E+01,-2.685E-01,-9.246E+00,2.500E+00
9.20E+01,8.128E+01,-2.805E-01,-9.463E+00,2.500E+00
9.30E+01,8.318E+01,-2.859E-01,-9.676E+00,2.500E+00
9.40E+01,8.511E+01,-2.939E-01,-9.877E+00,2.500E+00
9.50E+01,8.710E+01,-3.015E-01,-1.011E+01,2.500E+00
9.60E+01,8.913E+01,-3.100E-01,-1.033E+01,2.500E+00
9.70E+01,9.120E+01,-3.181E-01,-1.056E+01,2.500E+00
9.80E+01,9.333E+01,-3.261E-01,-1.078E+01,2.500E+00
9.90E+01,9.550E+01,-3.377E-01,-1.102E+01,2.500E+00
1.00E+02,9.772E+01,-3.475E-01,-1.128E+01,2.500E+00
1.01E+02,1.000E+02,-3.604E-01,-1.153E+01,2.500E+00
1.02E+02,1.023E+02,-3.707E-01,-1.178E+01,2.500E+00
1.03E+02,1.047E+02,-3.788E-01,-1.203E+01,2.500E+00
1.04E+02,1.072E+02,-3.889E-01,-1.229E+01,2.500E+00
1.05E+02,1.096E+02,-4.015E-01,-1.254E+01,2.500E+00
1.06E+02,1.122E+02,-4.150E-01,-1.281E+01,2.500E+00
1.07E+02,1.148E+02,-4.258E-01,-1.309E+01,2.500E+00
1.08E+02,1.175E+02,-4.430E-01,-1.337E+01,2.500E+00
1.09E+02,1.202E+02,-4.571E-01,-1.366E+01,2.500E+00
1.10E+02,1.230E+02,-4.707E-01,-1.396E+01,2.500E+00
1.11E+02,1.259E+02,-4.868E-01,-1.427E+01,2.500E+00
1.12E+02,1.288E+02,-5.029E-01,-1.456E+01,2.500E+00
1.13E+02,1.318E+02,-5.217E-01,-1.487E+01,2.500E+00
1.14E+02,1.349E+02,-5.367E-01,-1.520E+01,2.500E+00
1.15E+02,1.380E+02,-5.573E-01,-1.551E+01,2.500E+00
1.16E+02,1.413E+02,-5.733E-01,-1.584E+01,2.500E+00
1.17E+02,1.445E+02,-5.899E-01,-1.616E+01,2.500E+00
1.18E+02,1.479E+02,-6.137E-01,-1.650E+01,2.500E+00
1.19E+02,1.514E+02,-6.345E-01,-1.684E+01,2.500E+00
1.20E+02,1.549E+02,-6.570E-01,-1.719E+01,2.500E+00
1.21E+02,1.585E+02,-6.787E-01,-1.754E+01,2.500E+00
1.22E+02,1.622E+02,-7.015E-01,-1.790E+01,2.500E+00
1.23E+02,1.660E+02,-7.239E-01,-1.826E+01,2.500E+00
1.24E+02,1.698E+02,-7.479E-01,-1.863E+01,2.500E+00
1.25E+02,1.738E+02,-7.763E-01,-1.899E+01,2.500E+00
1.26E+02,1.778E+02,-8.040E-01,-1.937E+01,2.500E+00
1.27E+02,1.820E+02,-8.320E-01,-1.975E+01,2.500E+00
1.28E+02,1.862E+02,-8.606E-01,-2.015E+01,2.500E+00
1.29E+02,1.905E+02,-8.913E-01,-2.054E+01,2.500E+00
1.30E+02,1.950E+02,-9.237E-01,-2.097E+01,2.500E+00
1.31E+02,1.995E+02,-9.570E-01,-2.137E+01,2.500E+00
1.32E+02,2.042E+02,-9.907E-01,-2.177E+01,2.500E+00
1.33E+02,2.089E+02,-1.020E+00,-2.218E+01,2.500E+00
1.34E+02,2.138E+02,-1.056E+00,-2.259E+01,2.500E+00
1.35E+02,2.188E+02,-1.087E+00,-2.301E+01,2.500E+00
1.36E+02,2.239E+02,-1.123E+00,-2.343E+01,2.500E+00
1.37E+02,2.291E+02,-1.162E+00,-2.386E+01,2.500E+00
1.38E+02,2.344E+02,-1.202E+00,-2.429E+01,2.500E+00
1.39E+02,2.399E+02,-1.245E+00,-2.476E+01,2.500E+00
1.40E+02,2.455E+02,-1.288E+00,-2.521E+01,2.500E+00
1.41E+02,2.512E+02,-1.334E+00,-2.567E+01,2.500E+00
1.42E+02,2.570E+02,-1.379E+00,-2.613E+01,2.500E+00
1.43E+02,2.630E+02,-1.424E+00,-2.658E+01,2.500E+00
1.44E+02,2.692E+02,-1.473E+00,-2.707E+01,2.500E+00
1.45E+02,2.754E+02,-1.521E+00,-2.752E+01,2.500E+00
1.46E+02,2.818E+02,-1.569E+00,-2.800E+01,2.500E+00
1.47E+02,2.884E+02,-1.621E+00,-2.848E+01,2.500E+00
1.48E+02,2.951E+02,-1.670E+00,-2.897E+01,2.500E+00
1.49E+02,3.020E+02,-1.726E+00,-2.945E+01,2.500E+00
1.50E+02,3.090E+02,-1.781E+00,-2.992E+01,2.500E+00
1.51E+02,3.162E+02,-1.840E+00,-3.043E+01,2.500E+00
1.52E+02,3.236E+02,-1.896E+00,-3.094E+01,2.500E+00
1.53E+02,3.311E+02,-1.956E+00,-3.145E+01,2.500E+00
1.54E+02,3.388E+02,-2.011E+00,-3.195E+01,2.500E+00
1.55E+02,3.467E+02,-2.074E+00,-3.245E+01,2.500E+00
1.56E+02,3.548E+02,-2.138E+00,-3.295E+01,2.500E+00
1.57E+02,3.631E+02,-2.206E+00,-3.346E+01,2.500E+00
1.58E+02,3.715E+02,-2.274E+00,-3.398E+01,2.500E+00
1.59E+02,3.802E+02,-2.344E+00,-3.451E+01,2.500E+00
1.60E+02,3.890E+02,-2.414E+00,-3.503E+01,2.500E+00
1.61E+02,3.981E+02,-2.486E+00,-3.556E+01,2.500E+00
1.62E+02,4.074E+02,-2.557E+00,-3.609E+01,2.500E+00
1.63E+02,4.169E+02,-2.629E+00,-3.659E+01,2.500E+00
1.64E+02,4.266E+02,-2.699E+00,-3.712E+01,2.500E+00
1.65E+02,4.365E+02,-2.772E+00,-3.765E+01,2.500E+00
1.66E+02,4.467E+02,-2.847E+00,-3.819E+01,2.500E+00
1.67E+02,4.571E+02,-2.925E+00,-3.870E+01,2.500E+00
1.68E+02,4.677E+02,-3.007E+00,-3.923E+01,2.500E+00
1.69E+02,4.786E+02,-3.091E+00,-3.977E+01,2.500E+00
1.70E+02,4.898E+02,-3.182E+00,-4.034E+01,2.500E+00
1.71E+02,5.012E+02,-3.271E+00,-4.089E+01,2.500E+00
1.72E+02,5.129E+02,-3.357E+00,-4.144E+01,2.500E+00
1.73E+02,5.248E+02,-3.447E+00,-4.199E+01,2.500E+00
1.74E+02,5.370E+02,-3.539E+00,-4.255E+01,2.500E+00
1.75E+02,5.495E+02,-3.631E+00,-4.308E+01,2.500E+00
1.76E+02,5.623E+02,-3.744E+00,-4.363E+01,2.500E+00
1.77E+02,5.754E+02,-3.838E+00,-4.419E+01,2.500E+00
1.78E+02,5.888E+02,-3.934E+00,-4.475E+01,2.500E+00
1.79E+02,6.026E+02,-4.033E+00,-4.532E+01,2.500E+00
1.80E+02,6.166E+02,-4.134E+00,-4.586E+01,2.500E+00
1.81E+02,6.310E+02,-4.237E+00,-4.642E+01,2.500E+00
1.82E+02,6.457E+02,-4.343E+00,-4.699E+01,2.500E+00
1.83E+02,6.607E+02,-4.444E+00,-4.754E+01,2.500E+00
1.84E+02,6.761E+02,-4.548E+00,-4.811E+01,2.500E+00
1.85E+02,6.918E+02,-4.656E+00,-4.866E+01,2.500E+00
1.86E+02,7.079E+02,-4.762E+00,-4.920E+01,2.500E+00
1.87E+02,7.244E+02,-4.880E+00,-4.975E+01,2.500E+00
1.88E+02,7.413E+02,-4.996E+00,-5.031E+01,2.500E+00
1.89E+02,7.586E+02,-5.116E+00,-5.089E+01,2.500E+00
1.90E+02,7.762E+02,-5.235E+00,-5.143E+01,2.500E+00
1.91E+02,7.943E+02,-5.357E+00,-5.197E+01,2.500E+00
1.92E+02,8.128E+02,-5.479E+00,-5.253E+01,2.500E+00
1.93E+02,8.318E+02,-5.595E+00,-5.308E+01,2.500E+00
1.94E+02,8.511E+02,-5.715E+00,-5.363E+01,2.500E+00
1.95E+02,8.710E+02,-5.835E+00,-5.418E+01,2.500E+00
1.96E+02,8.913E+02,-5.957E+00,-5.471E+01,2.500E+00
1.97E+02,9.120E+02,-6.083E+00,-5.525E+01,2.500E+00
1.98E+02,9.333E+02,-6.218E+00,-5.578E+01,2.500E+00
1.99E+02,9.550E+02,-6.351E+00,-5.630E+01,2.500E+00
2.00E+02,9.772E+02,-6.491E+00,-5.684E+01,2.500E+00
2.01E+02,1.000E+03,-6.638E+00,-5.743E+01,2.500E+00
2.02E+02,1.023E+03,-6.765E+00,-5.793E+01,2.500E+00
2.03E+02,1.047E+03,-6.903E+00,-5.842E+01,2.500E+00
2.04E+02,1.072E+03,-7.045E+00,-5.893E+01,2.500E+00
2.05E+02,1.096E+03,-7.193E+00,-5.946E+01,2.500E+00
2.06E+02,1.122E+03,-7.334E+00,-6.002E+01,2.500E+00
2.07E+02,1.148E+03,-7.481E+00,-6.055E+01,2.500E+00
2.08E+02,1.175E+03,-7.627E+00,-6.109E+01,2.500E+00
2.09E+02,1.202E+03,-7.773E+00,-6.162E+01,2.500E+00
