in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
8.60E+01,7.079E+01,-6.772E-03,-2.196E-01,2.500E+00
8.70E+01,7.244E+01,-9.254E-03,-2.263E-01,2.500E+00
8.80E+01,7.413E+01,-6.321E-03,-2.268E-01,2.500E+00
8.90E+01,7.586E+01,-7.069E-03,-2.418E-01,2.500E+00
9.00E+01,7.762E+01,-8.053E-03,-2.378E-01,2.500E+00
9.10E+01,7.943E+01,-5.835E-03,-2.469E-01,2.500E+00
9.20E+01,8.128E+01,-7.126E-03,-2.563E-01,2.500E+00
9.30E+01,8.318E+01,-5.546E-03,-2.556E-01,2.500E+00
9.40E+01,8.511E+01,-7.386E-03,-2.683E-01,2.500E+00
9.50E+01,8.710E+01,-6.207E-03,-2.697E-01,2.500E+00
9.60E+01,8.913E+01,-6.206E-03,-2.818E-01,2.500E+00
9.70E+01,9.120E+01,-5.670E-03,-2.851E-01,2.500E+00
9.80E+01,9.333E+01,-5.051E-03,-2.900E-01,2.500E+00
9.90E+01,9.550E+01,-6.295E-03,-3.055E-01,2.500E+00
1.00E+02,9.772E+01,-5.521E-03,-3.041E-01,2.500E+00
1.01E+02,1.000E+02,-6.575E-03,-3.127E-01,2.500E+00
1.02E+02,1.023E+02,-7.142E-03,-3.100E-01,2.500E+00
1.03E+02,1.047E+02,-6.757E-03,-3.172E-01,2.500E+00
1.04E+02,1.072E+02,-5.887E-03,-3.291E-01,2.500E+00
1.05E+02,1.096E+02,-6.179E-03,-3.438E-01,2.500E+00
1.06E+02,1.122E+02,-7.147E-03,-3.486E-01,2.500E+00
1.07E+02,1.148E+02,-5.646E-03,-3.632E-01,2.500E+00
1.08E+02,1.175E+02,-5.691E-03,-3.697E-01,2.500E+00
1.09E+02,1.202E+02,-8.781E-03,-3.735E-01,2.500E+00
1.10E+02,1.230E+02,-9.132E-03,-3.819E-01,2.500E+00
1.11E+02,1.259E+02,-6.926E-03,-3.895E-01,2.500E+00
1.12E+02,1.288E+02,-6.679E-03,-3.994E-01,2.500E+00
1.13E+02,1.318E+02,-6.345E-03,-4.018E-01,2.500E+00
1.14E+02,1.349E+02,-8.120E-03,-4.202E-01,2.500E+00
1.15E+02,1.380E+02,-7.768E-03,-4.322E-01,2.500E+00
1.16E+02,1.413E+02,-6.183E-03,-4.426E-01,2.500E+00
1.17E+02,1.445E+02,-7.857E-03,-4.492E-01,2.500E+00
1.18E+02,1.479E+02,-8.150E-03,-4.630E-01,2.500E+00
1.19E+02,1.514E+02,-4.945E-03,-4.737E-01,2.500E+00
1.20E+02,1.549E+02,-7.597E-03,-4.805E-01,2.500E+00
1.21E+02,1.585E+02,-7.874E-03,-4.981E-01,2.500E+00
1.22E+02,1.622E+02,-7.155E-03,-5.022E-01,2.500E+00
1.23E+02,1.660E+02,-8.083E-03,-5.152E-01,2.500E+00
1.24E+02,1.698E+02,-7.679E-03,-5.241E-01,2.500E+00
1.25E+02,1.738E+02,-8.870E-03,-5.380E-01,2.500E+00
1.26E+02,1.778E+02,-7.477E-03,-5.505E-01,2.500E+00
1.27E+02,1.820E+02,-8.311E-03,-5.671E-01,2.500E+00
1.28E+02,1.862E+02,-7.059E-03,-5.764E-01,2.500E+00
1.29E+02,1.905E+02,-8.606E-03,-5.918E-01,2.500E+00
1.30E+02,1.950E+02,-9.008E-03,-6.102E-01,2.500E+00
1.31E+02,1.995E+02,-8.809E-03,-6.210E-01,2.500E+00
1.32E+02,2.042E+02,-9.609E-03,-6.413E-01,2.500E+00
1.33E+02,2.089E+02,-7.098E-03,-6.428E-01,2.500E+00
1.34E+02,2.138E+02,-7.844E-03,-6.710E-01,2.500E+00
