in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
8.60E+01,2.661E+04,-2.700E-01,-1.163E+01,2.500E+00
8.70E+01,2.692E+04,-2.786E-01,-1.175E+01,2.500E+00
8.80E+01,2.723E+04,-2.862E-01,-1.189E+01,2.500E+00
8.90E+01,2.754E+04,-3.183E-01,-1.203E+01,2.500E+00
9.00E+01,2.786E+04,-3.223E-01,-1.215E+01,2.500E+00
9.10E+01,2.818E+04,-3.333E-01,-1.230E+01,2.500E+00
9.20E+01,2.851E+04,-3.398E-01,-1.245E+01,2.500E+00
9.30E+01,2.884E+04,-3.438E-01,-1.260E+01,2.500E+00
9.40E+01,2.917E+04,-3.347E-01,-1.273E+01,2.500E+00
9.50E+01,2.951E+04,-3.421E-01,-1.287E+01,2.500E+00
9.60E+01,2.985E+04,-3.497E-01,-1.302E+01,2.500E+00
9.70E+01,3.020E+04,-3.544E-01,-1.318E+01,2.500E+00
9.80E+01,3.055E+04,-3.656E-01,-1.332E+01,2.500E+00
9.90E+01,3.090E+04,-3.713E-01,-1.347E+01,2.500E+00
1.00E+02,3.126E+04,-3.833E-01,-1.362E+01,2.500E+00
1.01E+02,3.162E+04,-3.870E-01,-1.379E+01,2.500E+00
1.02E+02,3.199E+04,-3.998E-01,-1.394E+01,2.500E+00
1.03E+02,3.236E+04,-4.098E-01,-1.409E+01,2.500E+00
1.04E+02,3.273E+04,-4.192E-01,-1.426E+01,2.500E+00
1.05E+02,3.311E+04,-4.293E-01,-1.441E+01,2.500E+00
1.06E+02,3.350E+04,-4.441E-01,-1.458E+01,2.500E+00
1.07E+02,3.388E+04,-4.520E-01,-1.475E+01,2.500E+00
1.08E+02,3.428E+04,-4.596E-01,-1.490E+01,2.500E+00
1.09E+02,3.467E+04,-4.715E-01,-1.507E+01,2.500E+00
1.10E+02,3.508E+04,-4.853E-01,-1.525E+01,2.500E+00
1.11E+02,3.548E+04,-4.972E-01,-1.542E+01,2.500E+00
1.12E+02,3.589E+04,-5.116E-01,-1.559E+01,2.500E+00
1.13E+02,3.631E+04,-5.274E-01,-1.577E+01,2.500E+00
1.14E+02,3.673E+04,-5.355E-01,-1.595E+01,2.500E+00
1.15E+02,3.715E+04,-5.493E-01,-1.612E+01,2.500E+00
1.16E+02,3.758E+04,-5.591E-01,-1.631E+01,2.500E+00
1.17E+02,3.802E+04,-5.719E-01,-1.648E+01,2.500E+00
1.18E+02,3.846E+04,-5.917E-01,-1.666E+01,2.500E+00
1.19E+02,3.890E+04,-6.039E-01,-1.686E+01,2.500E+00
1.20E+02,3.936E+04,-6.205E-01,-1.703E+01,2.500E+00
1.21E+02,3.981E+04,-6.384E-01,-1.722E+01,2.500E+00
1.22E+02,4.027E+04,-6.513E-01,-1.743E+01,2.500E+00
1.23E+02,4.074E+04,-6.660E-01,-1.760E+01,2.500E+00
1.24E+02,4.121E+04,-6.819E-01,-1.780E+01,2.500E+00
1.25E+02,4.169E+04,-6.957E-01,-1.800E+01,2.500E+00
1.26E+02,4.217E+04,-7.166E-01,-1.819E+01,2.500E+00
1.27E+02,4.266E+04,-7.351E-01,-1.841E+01,2.500E+00
1.28E+02,4.315E+04,-7.482E-01,-1.859E+01,2.500E+00
1.29E+02,4.365E+04,-7.698E-01,-1.880E+01,2.500E+00
1.30E+02,4.416E+04,-7.834E-01,-1.901E+01,2.500E+00
1.31E+02,4.467E+04,-8.041E-01,-1.921E+01,2.500E+00
1.32E+02,4.519E+04,-8.249E-01,-1.942E+01,2.500E+00
1.33E+02,4.571E+04,-8.421E-01,-1.962E+01,2.500E+00
1.34E+02,4.624E+04,-8.675E-01,-1.984E+01,2.500E+00
1.35E+02,4.677E+04,-9.045E-01,-2.004E+01,2.500E+00
1.36E+02,4.732E+04,-9.252E-01,-2.027E+01,2.500E+00
1.37E+02,4.786E+04,-9.446E-01,-2.049E+01,2.500E+00
1.38E+02,4.842E+04,-9.726E-01,-2.070E+01,2.500E+00
1.39E+02,4.898E+04,-9.977E-01,-2.093E+01,2.500E+00
1.40E+02,4.955E+04,-1.023E+00,-2.114E+01,2.500E+00
1.41E+02,5.012E+04,-1.043E+00,-2.138E+01,2.500E+00
1.42E+02,5.070E+04,-1.069E+00,-2.158E+01,2.500E+00
1.43E+02,5.129E+04,-1.090E+00,-2.181E+01,2.500E+00
1.44E+02,5.188E+04,-1.116E+00,-2.204E+01,2.500E+00
1.45E+02,5.248E+04,-1.143E+00,-2.228E+01,2.500E+00
1.46E+02,5.309E+04,-1.168E+00,-2.249E+01,2.500E+00
1.47E+02,5.370E+04,-1.170E+00,-2.273E+01,2.500E+00
1.48E+02,5.433E+04,-1.198E+00,-2.295E+01,2.500E+00
1.49E+02,5.495E+04,-1.230E+00,-2.319E+01,2.500E+00
1.50E+02,5.559E+04,-1.259E+00,-2.342E+01,2.500E+00
1.51E+02,5.623E+04,-1.291E+00,-2.366E+01,2.500E+00
1.52E+02,5.689E+04,-1.320E+00,-2.389E+01,2.500E+00
1.53E+02,5.754E+04,-1.355E+00,-2.413E+01,2.500E+00
1.54E+02,5.821E+04,-1.387E+00,-2.436E+01,2.500E+00
1.55E+02,5.888E+04,-1.425E+00,-2.462E+01,2.500E+00
1.56E+02,5.957E+04,-1.461E+00,-2.484E+01,2.500E+00
1.57E+02,6.026E+04,-1.497E+00,-2.510E+01,2.500E+00
1.58E+02,6.095E+04,-1.533E+00,-2.532E+01,2.500E+00
1.59E+02,6.166E+04,-1.566E+00,-2.558E+01,2.500E+00
