in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+04,2.445E-02,-4.913E+00,2.500E+00
2.00E+00,1.012E+04,2.468E-02,-4.970E+00,2.500E+00
3.00E+00,1.023E+04,2.372E-02,-5.025E+00,2.500E+00
4.00E+00,1.035E+04,2.279E-02,-5.096E+00,2.500E+00
5.00E+00,1.047E+04,2.434E-02,-5.157E+00,2.500E+00
6.00E+00,1.059E+04,2.604E-02,-5.218E+00,2.500E+00
7.00E+00,1.072E+04,2.498E-02,-5.276E+00,2.500E+00
8.00E+00,1.084E+04,2.475E-02,-5.344E+00,2.500E+00
9.00E+00,1.096E+04,2.337E-02,-5.410E+00,2.500E+00
1.00E+01,1.109E+04,2.611E-02,-5.473E+00,2.500E+00
1.10E+01,1.122E+04,2.580E-02,-5.535E+00,2.500E+00
1.20E+01,1.135E+04,2.570E-02,-5.607E+00,2.500E+00
1.30E+01,1.148E+04,2.767E-02,-5.677E+00,2.500E+00
1.40E+01,1.161E+04,2.644E-02,-5.741E+00,2.500E+00
1.50E+01,1.175E+04,2.708E-02,-5.811E+00,2.500E+00
1.60E+01,1.189E+04,2.653E-02,-5.884E+00,2.500E+00
1.70E+01,1.202E+04,2.728E-02,-5.956E+00,2.500E+00
1.80E+01,1.216E+04,2.827E-02,-6.024E+00,2.500E+00
1.90E+01,1.230E+04,2.631E-02,-6.099E+00,2.500E+00
2.00E+01,1.245E+04,2.922E-02,-6.178E+00,2.500E+00
2.10E+01,1.259E+04,2.831E-02,-6.254E+00,2.500E+00
2.20E+01,1.274E+04,2.869E-02,-6.319E+00,2.500E+00
2.30E+01,1.288E+04,2.979E-02,-6.402E+00,2.500E+00
2.40E+01,1.303E+04,3.026E-02,-6.486E+00,2.500E+00
2.50E+01,1.318E+04,3.010E-02,-6.559E+00,2.500E+00
2.60E+01,1.334E+04,2.959E-02,-6.638E+00,2.500E+00
2.70E+01,1.349E+04,2.886E-02,-6.725E+00,2.500E+00
2.80E+01,1.365E+04,2.958E-02,-6.799E+00,2.500E+00
2.90E+01,1.380E+04,2.900E-02,-6.882E+00,2.500E+00
3.00E+01,1.396E+04,2.974E-02,-6.968E+00,2.500E+00
3.10E+01,1.413E+04,3.170E-02,-7.052E+00,2.500E+00
3.20E+01,1.429E+04,2.943E-02,-7.135E+00,2.500E+00
3.30E+01,1.445E+04,2.885E-02,-7.224E+00,2.500E+00
3.40E+01,1.462E+04,3.149E-02,-7.312E+00,2.500E+00
3.50E+01,1.479E+04,2.953E-02,-7.400E+00,2.500E+00
3.60E+01,1.496E+04,2.973E-02,-7.491E+00,2.500E+00
3.70E+01,1.514E+04,2.921E-02,-7.580E+00,2.500E+00
3.80E+01,1.531E+04,3.046E-02,-7.675E+00,2.500E+00
3.90E+01,1.549E+04,2.984E-02,-7.773E+00,2.500E+00
4.00E+01,1.567E+04,2.920E-02,-7.859E+00,2.500E+00
4.10E+01,1.585E+04,2.878E-02,-7.953E+00,2.500E+00
4.20E+01,1.603E+04,2.925E-02,-8.056E+00,2.500E+00
4.30E+01,1.622E+04,2.791E-02,-8.146E+00,2.500E+00
4.40E+01,1.641E+04,2.709E-02,-8.251E+00,2.500E+00
4.50E+01,1.660E+04,2.597E-02,-8.352E+00,2.500E+00
4.60E+01,1.679E+04,2.648E-02,-8.454E+00,2.500E+00
4.70E+01,1.698E+04,2.701E-02,-8.558E+00,2.500E+00
4.80E+01,1.718E+04,2.787E-02,-8.657E+00,2.500E+00
4.90E+01,1.738E+04,2.737E-02,-8.767E+00,2.500E+00
5.00E+01,1.758E+04,2.643E-02,-8.876E+00,2.500E+00
5.10E+01,1.778E+04,2.502E-02,-8.981E+00,2.500E+00
5.20E+01,1.799E+04,2.385E-02,-9.094E+00,2.500E+00
5.30E+01,1.820E+04,2.607E-02,-9.197E+00,2.500E+00
5.40E+01,1.841E+04,2.620E-02,-9.313E+00,2.500E+00
5.50E+01,1.862E+04,2.261E-02,-9.427E+00,2.500E+00
5.60E+01,1.884E+04,2.318E-02,-9.543E+00,2.500E+00
5.70E+01,1.905E+04,2.568E-02,-9.660E+00,2.500E+00
5.80E+01,1.928E+04,2.477E-02,-9.775E+00,2.500E+00
5.90E+01,1.950E+04,2.251E-02,-9.900E+00,2.500E+00
6.00E+01,1.972E+04,2.351E-02,-1.001E+01,2.500E+00
6.10E+01,1.995E+04,2.281E-02,-1.014E+01,2.500E+00
6.20E+01,2.018E+04,2.039E-02,-1.026E+01,2.500E+00
6.30E+01,2.042E+04,2.141E-02,-1.039E+01,2.500E+00
6.40E+01,2.065E+04,2.013E-02,-1.051E+01,2.500E+00
6.50E+01,2.089E+04,1.889E-02,-1.065E+01,2.500E+00
6.60E+01,2.113E+04,1.997E-02,-1.077E+01,2.500E+00
6.70E+01,2.138E+04,1.686E-02,-1.090E+01,2.500E+00
6.80E+01,2.163E+04,1.865E-02,-1.104E+01,2.500E+00
6.90E+01,2.188E+04,1.690E-02,-1.118E+01,2.500E+00
7.00E+01,2.213E+04,1.865E-02,-1.131E+01,2.500E+00
7.10E+01,2.239E+04,1.789E-02,-1.145E+01,2.500E+00
7.20E+01,2.265E+04,1.838E-02,-1.159E+01,2.500E+00
7.30E+01,2.291E+04,1.767E-02,-1.173E+01,2.500E+00
7.40E+01,2.317E+04,1.697E-02,-1.188E+01,2.500E+00
7.50E+01,2.344E+04,1.283E-02,-1.202E+01,2.500E+00
7.60E+01,2.371E+04,1.409E-02,-1.216E+01,2.500E+00
7.70E+01,2.399E+04,1.375E-02,-1.232E+01,2.500E+00
7.80E+01,2.427E+04,1.127E-02,-1.247E+01,2.500E+00
7.90E+01,2.455E+04,9.792E-03,-1.262E+01,2.500E+00
8.00E+01,2.483E+04,9.370E-03,-1.278E+01,2.500E+00
8.10E+01,2.512E+04,1.475E-02,-1.294E+01,2.500E+00
8.20E+01,2.541E+04,1.364E-02,-1.309E+01,2.500E+00
8.30E+01,2.570E+04,9.083E-03,-1.324E+01,2.500E+00
8.40E+01,2.600E+04,7.168E-03,-1.342E+01,2.500E+00
8.50E+01,2.630E+04,6.141E-03,-1.358E+01,2.500E+00
8.60E+01,2.661E+04,4.623E-03,-1.373E+01,2.500E+00
8.70E+01,2.692E+04,7.652E-04,-1.390E+01,2.500E+00
8.80E+01,2.723E+04,-1.913E-03,-1.408E+01,2.500E+00
8.90E+01,2.754E+04,-1.239E-03,-1.426E+01,2.500E+00
9.00E+01,2.786E+04,-2.485E-03,-1.443E+01,2.500E+00
9.10E+01,2.818E+04,-5.000E-03,-1.460E+01,2.500E+00
9.20E+01,2.851E+04,-1.055E-02,-1.479E+01,2.500E+00
9.30E+01,2.884E+04,-1.028E-02,-1.498E+01,2.500E+00
9.40E+01,2.917E+04,-1.949E-02,-1.516E+01,2.500E+00
9.50E+01,2.951E+04,-2.378E-02,-1.534E+01,2.500E+00
9.60E+01,2.985E+04,-2.262E-02,-1.553E+01,2.500E+00
9.70E+01,3.020E+04,-2.548E-02,-1.573E+01,2.500E+00
9.80E+01,3.055E+04,-3.035E-02,-1.591E+01,2.500E+00
9.90E+01,3.090E+04,-3.383E-02,-1.611E+01,2.500E+00
1.00E+02,3.126E+04,-3.461E-02,-1.632E+01,2.500E+00
1.01E+02,3.162E+04,-3.330E-02,-1.651E+01,2.500E+00
1.02E+02,3.199E+04,-3.834E-02,-1.671E+01,2.500E+00
1.03E+02,3.236E+04,-4.054E-02,-1.693E+01,2.500E+00
1.04E+02,3.273E+04,-4.180E-02,-1.714E+01,2.500E+00
1.05E+02,3.311E+04,-4.651E-02,-1.734E+01,2.500E+00
1.06E+02,3.350E+04,-4.701E-02,-1.755E+01,2.500E+00
1.07E+02,3.388E+04,-5.082E-02,-1.778E+01,2.500E+00
1.08E+02,3.428E+04,-5.089E-02,-1.799E+01,2.500E+00
1.09E+02,3.467E+04,-5.901E-02,-1.820E+01,2.500E+00
1.10E+02,3.508E+04,-6.440E-02,-1.844E+01,2.500E+00
1.11E+02,3.548E+04,-6.421E-02,-1.866E+01,2.500E+00
1.12E+02,3.589E+04,-6.880E-02,-1.889E+01,2.500E+00
1.13E+02,3.631E+04,-7.287E-02,-1.913E+01,2.500E+00
1.14E+02,3.673E+04,-7.463E-02,-1.935E+01,2.500E+00
1.15E+02,3.715E+04,-8.437E-02,-1.960E+01,2.500E+00
1.16E+02,3.758E+04,-8.769E-02,-1.984E+01,2.500E+00
1.17E+02,3.802E+04,-9.296E-02,-2.008E+01,2.500E+00
1.18E+02,3.846E+04,-1.006E-01,-2.033E+01,2.500E+00
1.19E+02,3.890E+04,-1.100E-01,-2.058E+01,2.500E+00
1.20E+02,3.936E+04,-1.122E-01,-2.083E+01,2.500E+00
1.21E+02,3.981E+04,-1.176E-01,-2.109E+01,2.500E+00
1.22E+02,4.027E+04,-1.215E-01,-2.136E+01,2.500E+00
1.23E+02,4.074E+04,-1.279E-01,-2.160E+01,2.500E+00
1.24E+02,4.121E+04,-1.325E-01,-2.188E+01,2.500E+00
1.25E+02,4.169E+04,-1.387E-01,-2.214E+01,2.500E+00
1.26E+02,4.217E+04,-1.494E-01,-2.242E+01,2.500E+00
1.27E+02,4.266E+04,-1.552E-01,-2.270E+01,2.500E+00
1.28E+02,4.315E+04,-1.623E-01,-2.296E+01,2.500E+00
1.29E+02,4.365E+04,-1.679E-01,-2.325E+01,2.500E+00
1.30E+02,4.416E+04,-1.719E-01,-2.354E+01,2.500E+00
1.31E+02,4.467E+04,-1.849E-01,-2.382E+01,2.500E+00
1.32E+02,4.519E+04,-1.926E-01,-2.413E+01,2.500E+00
1.33E+02,4.571E+04,-1.980E-01,-2.441E+01,2.500E+00
1.34E+02,4.624E+04,-2.084E-01,-2.472E+01,2.500E+00
1.35E+02,4.677E+04,-2.136E-01,-2.501E+01,2.500E+00
1.36E+02,4.732E+04,-2.282E-01,-2.532E+01,2.500E+00
1.37E+02,4.786E+04,-2.336E-01,-2.564E+01,2.500E+00
1.38E+02,4.842E+04,-2.496E-01,-2.593E+01,2.500E+00
1.39E+02,4.898E+04,-2.594E-01,-2.627E+01,2.500E+00
1.40E+02,4.955E+04,-2.691E-01,-2.656E+01,2.500E+00
1.41E+02,5.012E+04,-2.823E-01,-2.690E+01,2.500E+00
1.42E+02,5.070E+04,-2.907E-01,-2.722E+01,2.500E+00
1.43E+02,5.129E+04,-3.247E-01,-2.757E+01,2.500E+00
1.44E+02,5.188E+04,-3.335E-01,-2.787E+01,2.500E+00
1.45E+02,5.248E+04,-3.473E-01,-2.824E+01,2.500E+00
1.46E+02,5.309E+04,-3.594E-01,-2.856E+01,2.500E+00
1.47E+02,5.370E+04,-3.500E-01,-2.891E+01,2.500E+00
