in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-1.580E-01,-9.383E-01,1.000E-01
2.00E+00,1.023E+01,-8.253E-02,-1.187E+00,1.000E-01
3.00E+00,1.047E+01,-1.561E-01,-9.537E-01,1.000E-01
4.00E+00,1.072E+01,-1.573E-01,-9.722E-01,1.000E-01
5.00E+00,1.096E+01,-7.529E-02,-1.195E+00,1.000E-01
6.00E+00,1.122E+01,-7.966E-02,-1.284E+00,1.000E-01
7.00E+00,1.148E+01,-7.768E-02,-1.333E+00,1.000E-01
8.00E+00,1.175E+01,-1.573E-01,-1.022E+00,1.000E-01
9.00E+00,1.202E+01,-1.566E-01,-1.070E+00,1.000E-01
1.00E+01,1.230E+01,-1.568E-01,-1.123E+00,1.000E-01
1.10E+01,1.259E+01,-7.474E-02,-1.392E+00,1.000E-01
1.20E+01,1.288E+01,-1.610E-01,-1.145E+00,1.000E-01
1.30E+01,1.318E+01,-1.684E-01,-1.226E+00,1.000E-01
1.40E+01,1.349E+01,-1.614E-01,-1.221E+00,1.000E-01
1.50E+01,1.380E+01,-7.826E-02,-1.553E+00,1.000E-01
1.60E+01,1.413E+01,-1.619E-01,-1.226E+00,1.000E-01
1.70E+01,1.445E+01,-7.732E-02,-1.630E+00,1.000E-01
1.80E+01,1.479E+01,-1.614E-01,-1.303E+00,1.000E-01
1.90E+01,1.514E+01,-7.213E-02,-1.653E+00,1.000E-01
2.00E+01,1.549E+01,-6.905E-02,-1.686E+00,1.000E-01
2.10E+01,1.585E+01,-7.033E-02,-1.787E+00,1.000E-01
2.20E+01,1.622E+01,-1.647E-01,-1.382E+00,1.000E-01
2.30E+01,1.660E+01,-1.679E-01,-1.452E+00,1.000E-01
2.40E+01,1.698E+01,-6.923E-02,-1.906E+00,1.000E-01
2.50E+01,1.738E+01,-1.673E-01,-1.562E+00,1.000E-01
2.60E+01,1.778E+01,-1.743E-01,-1.555E+00,1.000E-01
2.70E+01,1.820E+01,-6.408E-02,-2.001E+00,1.000E-01
2.80E+01,1.862E+01,-6.936E-02,-2.040E+00,1.000E-01
2.90E+01,1.905E+01,-1.715E-01,-1.685E+00,1.000E-01
3.00E+01,1.950E+01,-6.325E-02,-2.177E+00,1.000E-01
3.10E+01,1.995E+01,-6.087E-02,-2.218E+00,1.000E-01
3.20E+01,2.042E+01,-6.841E-02,-2.293E+00,1.000E-01
3.30E+01,2.089E+01,-5.317E-02,-2.313E+00,1.000E-01
3.40E+01,2.138E+01,-5.768E-02,-2.381E+00,1.000E-01
3.50E+01,2.188E+01,-5.845E-02,-2.436E+00,1.000E-01
3.60E+01,2.239E+01,-5.018E-02,-2.493E+00,1.000E-01
3.70E+01,2.291E+01,-5.200E-02,-2.562E+00,1.000E-01
3.80E+01,2.344E+01,-5.692E-02,-2.582E+00,1.000E-01
3.90E+01,2.399E+01,-5.651E-02,-2.712E+00,1.000E-01
4.00E+01,2.455E+01,-1.899E-01,-2.162E+00,1.000E-01
4.10E+01,2.512E+01,-4.120E-02,-2.700E+00,1.000E-01
4.20E+01,2.570E+01,-1.859E-01,-2.228E+00,1.000E-01
4.30E+01,2.630E+01,-1.921E-01,-2.288E+00,1.000E-01
4.40E+01,2.692E+01,-1.837E-01,-2.362E+00,1.000E-01
4.50E+01,2.754E+01,-1.996E-01,-2.402E+00,1.000E-01
4.60E+01,2.818E+01,-1.872E-01,-2.432E+00,1.000E-01
4.70E+01,2.884E+01,-1.914E-01,-2.500E+00,1.000E-01
4.80E+01,2.951E+01,-4.108E-02,-3.270E+00,1.000E-01
4.90E+01,3.020E+01,-1.319E-01,-3.014E+00,1.000E-01
5.00E+01,3.090E+01,-1.332E-01,-3.096E+00,1.000E-01
5.10E+01,3.162E+01,-1.339E-01,-3.176E+00,1.000E-01
5.20E+01,3.236E+01,-1.328E-01,-3.244E+00,1.000E-01
5.30E+01,3.311E+01,-1.378E-01,-3.299E+00,1.000E-01
5.40E+01,3.388E+01,-1.387E-01,-3.382E+00,1.000E-01
5.50E+01,3.467E+01,-1.377E-01,-3.462E+00,1.000E-01
5.60E+01,3.548E+01,-1.360E-01,-3.554E+00,1.000E-01
5.70E+01,3.631E+01,-1.380E-01,-3.649E+00,1.000E-01
5.80E+01,3.715E+01,-1.393E-01,-3.714E+00,1.000E-01
5.90E+01,3.802E+01,-1.408E-01,-3.807E+00,1.000E-01
6.00E+01,3.890E+01,-1.407E-01,-3.889E+00,1.000E-01
6.10E+01,3.981E+01,-1.452E-01,-3.982E+00,1.000E-01
6.20E+01,4.074E+01,-1.486E-01,-4.068E+00,1.000E-01
6.30E+01,4.169E+01,-1.427E-01,-4.178E+00,1.000E-01
6.40E+01,4.266E+01,-1.470E-01,-4.270E+00,1.000E-01
6.50E+01,4.365E+01,-1.519E-01,-4.387E+00,1.000E-01
6.60E+01,4.467E+01,-1.500E-01,-4.431E+00,1.000E-01
6.70E+01,4.571E+01,-1.470E-01,-4.525E+00,1.000E-01
6.80E+01,4.677E+01,-1.538E-01,-4.667E+00,1.000E-01
6.90E+01,4.786E+01,-1.531E-01,-4.775E+00,1.000E-01
7.00E+01,4.898E+01,-1.585E-01,-4.891E+00,1.000E-01
7.10E+01,5.012E+01,-1.580E-01,-4.963E+00,1.000E-01
7.20E+01,5.129E+01,-1.609E-01,-5.114E+00,1.000E-01
7.30E+01,5.248E+01,-1.571E-01,-5.194E+00,1.000E-01
7.40E+01,5.370E+01,-1.614E-01,-5.349E+00,1.000E-01
7.50E+01,5.495E+01,-1.626E-01,-5.496E+00,1.000E-01
7.60E+01,5.623E+01,-1.640E-01,-5.605E+00,1.000E-01
7.70E+01,5.754E+01,-1.714E-01,-5.742E+00,1.000E-01
7.80E+01,5.888E+01,-1.681E-01,-5.829E+00,1.000E-01
7.90E+01,6.026E+01,-1.655E-01,-6.007E+00,1.000E-01
