in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-8.344E-02,-1.179E+00,1.000E-01
2.00E+00,1.023E+01,-1.534E-01,-9.395E-01,1.000E-01
3.00E+00,1.047E+01,-8.330E-02,-1.160E+00,1.000E-01
4.00E+00,1.072E+01,-7.732E-02,-1.161E+00,1.000E-01
5.00E+00,1.096E+01,-8.140E-02,-1.224E+00,1.000E-01
6.00E+00,1.122E+01,-1.603E-01,-1.030E+00,1.000E-01
7.00E+00,1.148E+01,-1.546E-01,-1.034E+00,1.000E-01
8.00E+00,1.175E+01,-1.620E-01,-1.083E+00,1.000E-01
9.00E+00,1.202E+01,-1.575E-01,-1.066E+00,1.000E-01
1.00E+01,1.230E+01,-1.538E-01,-1.104E+00,1.000E-01
1.10E+01,1.259E+01,-7.772E-02,-1.395E+00,1.000E-01
1.20E+01,1.288E+01,-1.588E-01,-1.163E+00,1.000E-01
1.30E+01,1.318E+01,-1.599E-01,-1.157E+00,1.000E-01
1.40E+01,1.349E+01,-1.682E-01,-1.255E+00,1.000E-01
1.50E+01,1.380E+01,-7.616E-02,-1.582E+00,1.000E-01
1.60E+01,1.413E+01,-1.640E-01,-1.239E+00,1.000E-01
1.70E+01,1.445E+01,-1.588E-01,-1.266E+00,1.000E-01
1.80E+01,1.479E+01,-7.075E-02,-1.590E+00,1.000E-01
1.90E+01,1.514E+01,-7.517E-02,-1.698E+00,1.000E-01
2.00E+01,1.549E+01,-1.726E-01,-1.393E+00,1.000E-01
2.10E+01,1.585E+01,-1.688E-01,-1.406E+00,1.000E-01
2.20E+01,1.622E+01,-6.934E-02,-1.846E+00,1.000E-01
2.30E+01,1.660E+01,-1.617E-01,-1.446E+00,1.000E-01
2.40E+01,1.698E+01,-6.307E-02,-1.843E+00,1.000E-01
2.50E+01,1.738E+01,-6.492E-02,-1.913E+00,1.000E-01
2.60E+01,1.778E+01,-1.749E-01,-1.597E+00,1.000E-01
2.70E+01,1.820E+01,-6.100E-02,-2.006E+00,1.000E-01
2.80E+01,1.862E+01,-1.764E-01,-1.652E+00,1.000E-01
2.90E+01,1.905E+01,-6.582E-02,-2.130E+00,1.000E-01
3.00E+01,1.950E+01,-5.698E-02,-2.139E+00,1.000E-01
3.10E+01,1.995E+01,-6.267E-02,-2.232E+00,1.000E-01
3.20E+01,2.042E+01,-5.963E-02,-2.262E+00,1.000E-01
3.30E+01,2.089E+01,-5.875E-02,-2.294E+00,1.000E-01
3.40E+01,2.138E+01,-5.657E-02,-2.364E+00,1.000E-01
3.50E+01,2.188E+01,-5.431E-02,-2.379E+00,1.000E-01
3.60E+01,2.239E+01,-5.365E-02,-2.443E+00,1.000E-01
3.70E+01,2.291E+01,-1.812E-01,-1.977E+00,1.000E-01
3.80E+01,2.344E+01,-5.453E-02,-2.605E+00,1.000E-01
3.90E+01,2.399E+01,-5.491E-02,-2.683E+00,1.000E-01
4.00E+01,2.455E+01,-5.219E-02,-2.751E+00,1.000E-01
4.10E+01,2.512E+01,-1.931E-01,-2.209E+00,1.000E-01
4.20E+01,2.570E+01,-5.354E-02,-2.844E+00,1.000E-01
4.30E+01,2.630E+01,-4.447E-02,-2.832E+00,1.000E-01
4.40E+01,2.692E+01,-4.491E-02,-3.027E+00,1.000E-01
4.50E+01,2.754E+01,-1.940E-01,-2.390E+00,1.000E-01
4.60E+01,2.818E+01,-2.004E-01,-2.481E+00,1.000E-01
4.70E+01,2.884E+01,-1.908E-01,-2.512E+00,1.000E-01
4.80E+01,2.951E+01,-2.052E-01,-2.574E+00,1.000E-01
4.90E+01,3.020E+01,-1.350E-01,-3.010E+00,1.000E-01
5.00E+01,3.090E+01,-1.334E-01,-3.083E+00,1.000E-01
5.10E+01,3.162E+01,-1.338E-01,-3.140E+00,1.000E-01
5.20E+01,3.236E+01,-1.336E-01,-3.241E+00,1.000E-01
5.30E+01,3.311E+01,-1.344E-01,-3.291E+00,1.000E-01
5.40E+01,3.388E+01,-1.392E-01,-3.354E+00,1.000E-01
5.50E+01,3.467E+01,-1.367E-01,-3.456E+00,1.000E-01
5.60E+01,3.548E+01,-1.318E-01,-3.571E+00,1.000E-01
5.70E+01,3.631E+01,-1.363E-01,-3.595E+00,1.000E-01
5.80E+01,3.715E+01,-1.393E-01,-3.696E+00,1.000E-01
5.90E+01,3.802E+01,-1.431E-01,-3.796E+00,1.000E-01
6.00E+01,3.890E+01,-1.434E-01,-3.886E+00,1.000E-01
6.10E+01,3.981E+01,-1.403E-01,-3.916E+00,1.000E-01
6.20E+01,4.074E+01,-1.433E-01,-4.056E+00,1.000E-01
6.30E+01,4.169E+01,-1.425E-01,-4.166E+00,1.000E-01
6.40E+01,4.266E+01,-1.490E-01,-4.241E+00,1.000E-01
6.50E+01,4.365E+01,-1.426E-01,-4.344E+00,1.000E-01
6.60E+01,4.467E+01,-1.472E-01,-4.456E+00,1.000E-01
