in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.121E-01,-6.181E-01,2.500E+00
2.00E+00,1.023E+01,-2.125E-01,-6.187E-01,2.500E+00
3.00E+00,1.047E+01,-2.150E-01,-6.483E-01,2.500E+00
4.00E+00,1.072E+01,-2.132E-01,-6.410E-01,2.500E+00
5.00E+00,1.096E+01,-2.162E-01,-6.766E-01,2.500E+00
6.00E+00,1.122E+01,-2.135E-01,-6.889E-01,2.500E+00
7.00E+00,1.148E+01,-2.144E-01,-7.116E-01,2.500E+00
8.00E+00,1.175E+01,-2.124E-01,-7.382E-01,2.500E+00
9.00E+00,1.202E+01,-2.146E-01,-7.556E-01,2.500E+00
1.00E+01,1.230E+01,-2.136E-01,-7.768E-01,2.500E+00
1.10E+01,1.259E+01,-2.128E-01,-8.016E-01,2.500E+00
1.20E+01,1.288E+01,-2.113E-01,-8.346E-01,2.500E+00
1.30E+01,1.318E+01,-2.118E-01,-8.530E-01,2.500E+00
1.40E+01,1.349E+01,-2.119E-01,-8.732E-01,2.500E+00
1.50E+01,1.380E+01,-2.124E-01,-8.921E-01,2.500E+00
1.60E+01,1.413E+01,-2.134E-01,-9.063E-01,2.500E+00
1.70E+01,1.445E+01,-2.152E-01,-9.418E-01,2.500E+00
1.80E+01,1.479E+01,-2.152E-01,-9.740E-01,2.500E+00
1.90E+01,1.514E+01,-2.104E-01,-9.906E-01,2.500E+00
2.00E+01,1.549E+01,-2.127E-01,-1.008E+00,2.500E+00
2.10E+01,1.585E+01,-2.135E-01,-1.043E+00,2.500E+00
2.20E+01,1.622E+01,-2.131E-01,-1.079E+00,2.500E+00
2.30E+01,1.660E+01,-2.143E-01,-1.106E+00,2.500E+00
2.40E+01,1.698E+01,-2.134E-01,-1.128E+00,2.500E+00
2.50E+01,1.738E+01,-2.123E-01,-1.169E+00,2.500E+00
2.60E+01,1.778E+01,-2.152E-01,-1.195E+00,2.500E+00
2.70E+01,1.820E+01,-2.131E-01,-1.233E+00,2.500E+00
2.80E+01,1.862E+01,-2.149E-01,-1.243E+00,2.500E+00
2.90E+01,1.905E+01,-2.123E-01,-1.295E+00,2.500E+00
3.00E+01,1.950E+01,-2.131E-01,-1.322E+00,2.500E+00
3.10E+01,1.995E+01,-2.156E-01,-1.353E+00,2.500E+00
3.20E+01,2.042E+01,-2.145E-01,-1.391E+00,2.500E+00
3.30E+01,2.089E+01,-2.190E-01,-1.419E+00,2.500E+00
3.40E+01,2.138E+01,-2.155E-01,-1.466E+00,2.500E+00
3.50E+01,2.188E+01,-2.171E-01,-1.510E+00,2.500E+00
3.60E+01,2.239E+01,-2.161E-01,-1.542E+00,2.500E+00
3.70E+01,2.291E+01,-2.183E-01,-1.561E+00,2.500E+00
3.80E+01,2.344E+01,-2.118E-01,-1.625E+00,2.500E+00
3.90E+01,2.399E+01,-2.138E-01,-1.676E+00,2.500E+00
4.00E+01,2.455E+01,-2.152E-01,-1.701E+00,2.500E+00
4.10E+01,2.512E+01,-2.153E-01,-1.736E+00,2.500E+00
4.20E+01,2.570E+01,-2.148E-01,-1.794E+00,2.500E+00
4.30E+01,2.630E+01,-2.173E-01,-1.832E+00,2.500E+00
4.40E+01,2.692E+01,-2.169E-01,-1.876E+00,2.500E+00
4.50E+01,2.754E+01,-2.191E-01,-1.926E+00,2.500E+00
4.60E+01,2.818E+01,-2.143E-01,-1.984E+00,2.500E+00
4.70E+01,2.884E+01,-2.143E-01,-2.038E+00,2.500E+00
4.80E+01,2.951E+01,-2.193E-01,-2.061E+00,2.500E+00
4.90E+01,3.020E+01,-1.764E-01,-2.577E+00,2.500E+00
5.00E+01,3.090E+01,-1.758E-01,-2.639E+00,2.500E+00
5.10E+01,3.162E+01,-1.745E-01,-2.689E+00,2.500E+00
5.20E+01,3.236E+01,-1.727E-01,-2.772E+00,2.500E+00
5.30E+01,3.311E+01,-1.734E-01,-2.824E+00,2.500E+00
5.40E+01,3.388E+01,-1.731E-01,-2.890E+00,2.500E+00
5.50E+01,3.467E+01,-1.704E-01,-2.962E+00,2.500E+00
5.60E+01,3.548E+01,-1.705E-01,-3.038E+00,2.500E+00
5.70E+01,3.631E+01,-1.691E-01,-3.097E+00,2.500E+00
5.80E+01,3.715E+01,-1.664E-01,-3.183E+00,2.500E+00
5.90E+01,3.802E+01,-1.639E-01,-3.245E+00,2.500E+00
6.00E+01,3.890E+01,-1.645E-01,-3.310E+00,2.500E+00
6.10E+01,3.981E+01,-1.623E-01,-3.399E+00,2.500E+00
6.20E+01,4.074E+01,-1.612E-01,-3.469E+00,2.500E+00
6.30E+01,4.169E+01,-1.586E-01,-3.552E+00,2.500E+00
6.40E+01,4.266E+01,-1.574E-01,-3.645E+00,2.500E+00
6.50E+01,4.365E+01,-1.578E-01,-3.737E+00,2.500E+00
6.60E+01,4.467E+01,-1.543E-01,-3.811E+00,2.500E+00
6.70E+01,4.571E+01,-1.529E-01,-3.891E+00,2.500E+00
6.80E+01,4.677E+01,-1.462E-01,-4.000E+00,2.500E+00
6.90E+01,4.786E+01,-1.480E-01,-4.091E+00,2.500E+00
7.00E+01,4.898E+01,-1.448E-01,-4.188E+00,2.500E+00
7.10E+01,5.012E+01,-1.430E-01,-4.269E+00,2.500E+00
7.20E+01,5.129E+01,-1.389E-01,-4.386E+00,2.500E+00
7.30E+01,5.248E+01,-1.370E-01,-4.490E+00,2.500E+00
7.40E+01,5.370E+01,-1.343E-01,-4.587E+00,2.500E+00
7.50E+01,5.495E+01,-1.297E-01,-4.693E+00,2.500E+00
7.60E+01,5.623E+01,-1.278E-01,-4.812E+00,2.500E+00
7.70E+01,5.754E+01,-1.252E-01,-4.921E+00,2.500E+00
7.80E+01,5.888E+01,-1.231E-01,-5.036E+00,2.500E+00
7.90E+01,6.026E+01,-1.165E-01,-5.158E+00,2.500E+00
8.00E+01,6.166E+01,-1.146E-01,-5.281E+00,2.500E+00
8.10E+01,6.310E+01,-1.104E-01,-5.417E+00,2.500E+00
8.20E+01,6.457E+01,-1.078E-01,-5.536E+00,2.500E+00
8.30E+01,6.607E+01,-1.032E-01,-5.667E+00,2.500E+00
8.40E+01,6.761E+01,-9.773E-02,-5.809E+00,2.500E+00
8.50E+01,6.918E+01,-9.359E-02,-5.951E+00,2.500E+00
8.60E+01,7.079E+01,-8.778E-02,-6.080E+00,2.500E+00
8.70E+01,7.244E+01,-8.216E-02,-6.240E+00,2.500E+00
8.80E+01,7.413E+01,-7.921E-02,-6.389E+00,2.500E+00
8.90E+01,7.586E+01,-7.361E-02,-6.538E+00,2.500E+00
9.00E+01,7.762E+01,-6.579E-02,-6.689E+00,2.500E+00
9.10E+01,7.943E+01,-6.104E-02,-6.860E+00,2.500E+00
9.20E+01,8.128E+01,-5.379E-02,-7.027E+00,2.500E+00
9.30E+01,8.318E+01,-4.779E-02,-7.186E+00,2.500E+00
9.40E+01,8.511E+01,-4.333E-02,-7.372E+00,2.500E+00
9.50E+01,8.710E+01,-3.477E-02,-7.545E+00,2.500E+00
9.60E+01,8.913E+01,-2.483E-02,-7.725E+00,2.500E+00
9.70E+01,9.120E+01,-1.929E-02,-7.923E+00,2.500E+00
9.80E+01,9.333E+01,-6.778E-03,-8.109E+00,2.500E+00
9.90E+01,9.550E+01,2.133E-04,-8.315E+00,2.500E+00
1.00E+02,9.772E+01,8.505E-03,-8.507E+00,2.500E+00
1.01E+02,1.000E+02,1.522E-02,-8.726E+00,2.500E+00
1.02E+02,1.023E+02,2.554E-02,-8.944E+00,2.500E+00
1.03E+02,1.047E+02,3.735E-02,-9.156E+00,2.500E+00
1.04E+02,1.072E+02,4.910E-02,-9.381E+00,2.500E+00
1.05E+02,1.096E+02,6.057E-02,-9.601E+00,2.500E+00
1.06E+02,1.122E+02,7.330E-02,-9.841E+00,2.500E+00
1.07E+02,1.148E+02,8.644E-02,-1.009E+01,2.500E+00
1.08E+02,1.175E+02,9.913E-02,-1.036E+01,2.500E+00
1.09E+02,1.202E+02,1.110E-01,-1.061E+01,2.500E+00
1.10E+02,1.230E+02,1.243E-01,-1.088E+01,2.500E+00
1.11E+02,1.259E+02,1.395E-01,-1.117E+01,2.500E+00
1.12E+02,1.288E+02,1.555E-01,-1.145E+01,2.500E+00
