in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
8.60E+01,7.079E+01,-3.122E-01,-6.831E+00,1.000E-01
8.70E+01,7.244E+01,-3.224E-01,-6.995E+00,1.000E-01
8.80E+01,7.413E+01,-3.328E-01,-7.145E+00,1.000E-01
8.90E+01,7.586E+01,-3.490E-01,-7.273E+00,1.000E-01
9.00E+01,7.762E+01,-3.524E-01,-7.428E+00,1.000E-01
9.10E+01,7.943E+01,-3.647E-01,-7.594E+00,1.000E-01
9.20E+01,8.128E+01,-3.729E-01,-7.731E+00,1.000E-01
9.30E+01,8.318E+01,-3.846E-01,-7.915E+00,1.000E-01
9.40E+01,8.511E+01,-3.973E-01,-8.130E+00,1.000E-01
9.50E+01,8.710E+01,-4.049E-01,-8.298E+00,1.000E-01
9.60E+01,8.913E+01,-4.213E-01,-8.422E+00,1.000E-01
9.70E+01,9.120E+01,-4.358E-01,-8.605E+00,1.000E-01
9.80E+01,9.333E+01,-4.483E-01,-8.785E+00,1.000E-01
9.90E+01,9.550E+01,-4.571E-01,-8.979E+00,1.000E-01
1.00E+02,9.772E+01,-4.730E-01,-9.179E+00,1.000E-01
1.01E+02,1.000E+02,-4.915E-01,-9.326E+00,1.000E-01
1.02E+02,1.023E+02,-5.080E-01,-9.530E+00,1.000E-01
1.03E+02,1.047E+02,-5.257E-01,-9.713E+00,1.000E-01
1.04E+02,1.072E+02,-5.373E-01,-9.874E+00,1.000E-01
1.05E+02,1.096E+02,-5.573E-01,-1.013E+01,1.000E-01
1.06E+02,1.122E+02,-5.754E-01,-1.030E+01,1.000E-01
1.07E+02,1.148E+02,-5.977E-01,-1.050E+01,1.000E-01
1.08E+02,1.175E+02,-6.183E-01,-1.076E+01,1.000E-01
1.09E+02,1.202E+02,-6.456E-01,-1.091E+01,1.000E-01
1.10E+02,1.230E+02,-6.603E-01,-1.108E+01,1.000E-01
1.11E+02,1.259E+02,-6.848E-01,-1.130E+01,1.000E-01
1.12E+02,1.288E+02,-7.066E-01,-1.151E+01,1.000E-01
1.13E+02,1.318E+02,-7.330E-01,-1.171E+01,1.000E-01
1.14E+02,1.349E+02,-7.611E-01,-1.192E+01,1.000E-01
1.15E+02,1.380E+02,-7.855E-01,-1.217E+01,1.000E-01
1.16E+02,1.413E+02,-8.117E-01,-1.238E+01,1.000E-01
1.17E+02,1.445E+02,-8.317E-01,-1.259E+01,1.000E-01
1.18E+02,1.479E+02,-8.693E-01,-1.282E+01,1.000E-01
