in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-2.762E-01,-1.730E+00,1.000E-01
2.00E+00,1.023E+01,-1.382E-01,-2.248E+00,1.000E-01
3.00E+00,1.047E+01,-1.359E-01,-2.319E+00,1.000E-01
4.00E+00,1.072E+01,-1.430E-01,-2.364E+00,1.000E-01
5.00E+00,1.096E+01,-2.860E-01,-1.864E+00,1.000E-01
6.00E+00,1.122E+01,-1.387E-01,-2.531E+00,1.000E-01
7.00E+00,1.148E+01,-1.357E-01,-2.478E+00,1.000E-01
8.00E+00,1.175E+01,-1.366E-01,-2.586E+00,1.000E-01
9.00E+00,1.202E+01,-2.877E-01,-2.071E+00,1.000E-01
1.00E+01,1.230E+01,-2.876E-01,-2.108E+00,1.000E-01
1.10E+01,1.259E+01,-2.963E-01,-2.223E+00,1.000E-01
1.20E+01,1.288E+01,-2.841E-01,-2.190E+00,1.000E-01
1.30E+01,1.318E+01,-2.851E-01,-2.249E+00,1.000E-01
1.40E+01,1.349E+01,-3.006E-01,-2.348E+00,1.000E-01
1.50E+01,1.380E+01,-2.990E-01,-2.418E+00,1.000E-01
1.60E+01,1.413E+01,-2.944E-01,-2.390E+00,1.000E-01
1.70E+01,1.445E+01,-3.033E-01,-2.496E+00,1.000E-01
1.80E+01,1.479E+01,-1.218E-01,-3.144E+00,1.000E-01
1.90E+01,1.514E+01,-3.011E-01,-2.582E+00,1.000E-01
2.00E+01,1.549E+01,-1.232E-01,-3.400E+00,1.000E-01
2.10E+01,1.585E+01,-1.232E-01,-3.454E+00,1.000E-01
2.20E+01,1.622E+01,-1.176E-01,-3.519E+00,1.000E-01
2.30E+01,1.660E+01,-3.117E-01,-2.826E+00,1.000E-01
2.40E+01,1.698E+01,-3.210E-01,-2.991E+00,1.000E-01
2.50E+01,1.738E+01,-1.136E-01,-3.774E+00,1.000E-01
2.60E+01,1.778E+01,-1.108E-01,-3.808E+00,1.000E-01
2.70E+01,1.820E+01,-1.117E-01,-3.815E+00,1.000E-01
2.80E+01,1.862E+01,-3.233E-01,-3.154E+00,1.000E-01
2.90E+01,1.905E+01,-1.102E-01,-4.133E+00,1.000E-01
3.00E+01,1.950E+01,-1.022E-01,-4.114E+00,1.000E-01
3.10E+01,1.995E+01,-1.110E-01,-4.360E+00,1.000E-01
3.20E+01,2.042E+01,-3.390E-01,-3.565E+00,1.000E-01
3.30E+01,2.089E+01,-9.641E-02,-4.439E+00,1.000E-01
3.40E+01,2.138E+01,-3.411E-01,-3.714E+00,1.000E-01
3.50E+01,2.188E+01,-3.405E-01,-3.696E+00,1.000E-01
3.60E+01,2.239E+01,-3.390E-01,-3.806E+00,1.000E-01
3.70E+01,2.291E+01,-3.412E-01,-3.889E+00,1.000E-01
3.80E+01,2.344E+01,-3.370E-01,-3.980E+00,1.000E-01
3.90E+01,2.399E+01,-1.065E-01,-5.352E+00,1.000E-01
4.00E+01,2.455E+01,-9.988E-02,-5.382E+00,1.000E-01
4.10E+01,2.512E+01,-9.403E-02,-5.674E+00,1.000E-01
4.20E+01,2.570E+01,-8.454E-02,-5.409E+00,1.000E-01
4.30E+01,2.630E+01,-3.673E-01,-4.482E+00,1.000E-01
4.40E+01,2.692E+01,-9.443E-02,-5.794E+00,1.000E-01
4.50E+01,2.754E+01,-7.481E-02,-5.879E+00,1.000E-01
4.60E+01,2.818E+01,-7.858E-02,-6.076E+00,1.000E-01
4.70E+01,2.884E+01,-9.063E-02,-6.292E+00,1.000E-01
4.80E+01,2.951E+01,-3.880E-01,-4.956E+00,1.000E-01
4.90E+01,3.020E+01,-2.565E-01,-5.914E+00,1.000E-01
