in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-3.253E-02,-3.671E-02,1.000E-01
2.00E+00,1.023E+01,-3.064E-02,-5.965E-02,1.000E-01
3.00E+00,1.047E+01,-2.862E-02,-4.391E-02,1.000E-01
4.00E+00,1.072E+01,-2.795E-02,-3.928E-02,1.000E-01
5.00E+00,1.096E+01,-3.591E-02,-3.387E-02,1.000E-01
6.00E+00,1.122E+01,-2.908E-02,-8.098E-02,1.000E-01
7.00E+00,1.148E+01,-3.262E-02,-5.955E-02,1.000E-01
8.00E+00,1.175E+01,-3.389E-02,-3.833E-02,1.000E-01
9.00E+00,1.202E+01,-3.670E-02,-3.656E-02,1.000E-01
1.00E+01,1.230E+01,-2.412E-02,-3.113E-02,1.000E-01
1.10E+01,1.259E+01,-3.101E-02,-3.674E-02,1.000E-01
1.20E+01,1.288E+01,-3.135E-02,-3.481E-02,1.000E-01
1.30E+01,1.318E+01,-2.761E-02,-2.373E-02,1.000E-01
1.40E+01,1.349E+01,-3.164E-02,-4.731E-02,1.000E-01
1.50E+01,1.380E+01,-3.033E-02,-3.915E-02,1.000E-01
1.60E+01,1.413E+01,-3.205E-02,-1.166E-02,1.000E-01
1.70E+01,1.445E+01,-3.046E-02,-3.020E-02,1.000E-01
1.80E+01,1.479E+01,-3.053E-02,-3.365E-02,1.000E-01
1.90E+01,1.514E+01,-2.859E-02,-3.476E-02,1.000E-01
2.00E+01,1.549E+01,-2.709E-02,-4.185E-02,1.000E-01
2.10E+01,1.585E+01,-2.972E-02,-2.777E-02,1.000E-01
2.20E+01,1.622E+01,-3.184E-02,-3.235E-02,1.000E-01
2.30E+01,1.660E+01,-3.193E-02,-4.301E-02,1.000E-01
2.40E+01,1.698E+01,-3.133E-02,-3.133E-02,1.000E-01
2.50E+01,1.738E+01,-2.961E-02,-4.427E-02,1.000E-01
2.60E+01,1.778E+01,-3.382E-02,-1.222E-02,1.000E-01
2.70E+01,1.820E+01,-3.393E-02,-4.001E-02,1.000E-01
2.80E+01,1.862E+01,-3.384E-02,2.693E-03,1.000E-01
2.90E+01,1.905E+01,-3.128E-02,-4.426E-02,1.000E-01
3.00E+01,1.950E+01,-3.695E-02,-4.391E-02,1.000E-01
3.10E+01,1.995E+01,-2.865E-02,-2.800E-02,1.000E-01
3.20E+01,2.042E+01,-3.291E-02,-6.245E-02,1.000E-01
3.30E+01,2.089E+01,-3.132E-02,-8.332E-02,1.000E-01
3.40E+01,2.138E+01,-3.071E-02,-3.188E-02,1.000E-01
3.50E+01,2.188E+01,-2.572E-02,-3.104E-02,1.000E-01
3.60E+01,2.239E+01,-2.838E-02,-5.262E-02,1.000E-01
3.70E+01,2.291E+01,-2.715E-02,-4.965E-02,1.000E-01
3.80E+01,2.344E+01,-3.426E-02,-4.242E-02,1.000E-01
3.90E+01,2.399E+01,-2.972E-02,-5.203E-02,1.000E-01
4.00E+01,2.455E+01,-3.040E-02,-5.793E-02,1.000E-01
4.10E+01,2.512E+01,-2.975E-02,-3.165E-02,1.000E-01
4.20E+01,2.570E+01,-3.226E-02,-4.163E-02,1.000E-01
4.30E+01,2.630E+01,-2.889E-02,-6.441E-02,1.000E-01
4.40E+01,2.692E+01,-3.261E-02,-3.922E-02,1.000E-01
4.50E+01,2.754E+01,-3.271E-02,-3.794E-02,1.000E-01
4.60E+01,2.818E+01,-3.180E-02,-5.019E-02,1.000E-01
4.70E+01,2.884E+01,-2.979E-02,-2.628E-02,1.000E-01
4.80E+01,2.951E+01,-3.280E-02,-3.390E-02,1.000E-01
4.90E+01,3.020E+01,-2.779E-02,-6.353E-02,1.000E-01
5.00E+01,3.090E+01,-2.958E-02,-3.395E-02,1.000E-01
5.10E+01,3.162E+01,-3.040E-02,-6.059E-02,1.000E-01
5.20E+01,3.236E+01,-3.258E-02,-7.070E-02,1.000E-01
5.30E+01,3.311E+01,-3.294E-02,-6.555E-02,1.000E-01
5.40E+01,3.388E+01,-3.354E-02,-3.086E-02,1.000E-01
5.50E+01,3.467E+01,-2.916E-02,-5.664E-02,1.000E-01
5.60E+01,3.548E+01,-3.114E-02,-5.451E-02,1.000E-01
5.70E+01,3.631E+01,-3.404E-02,-7.211E-02,1.000E-01
5.80E+01,3.715E+01,-2.841E-02,-6.949E-02,1.000E-01
5.90E+01,3.802E+01,-3.053E-02,-6.933E-02,1.000E-01
6.00E+01,3.890E+01,-2.498E-02,-6.527E-02,1.000E-01
6.10E+01,3.981E+01,-3.417E-02,-5.744E-02,1.000E-01
6.20E+01,4.074E+01,-3.019E-02,-6.053E-02,1.000E-01
6.30E+01,4.169E+01,-3.178E-02,-4.981E-02,1.000E-01
6.40E+01,4.266E+01,-2.787E-02,-5.961E-02,1.000E-01
6.50E+01,4.365E+01,-3.031E-02,-3.410E-02,1.000E-01
6.60E+01,4.467E+01,-3.142E-02,-8.476E-02,1.000E-01
6.70E+01,4.571E+01,-3.181E-02,-6.689E-02,1.000E-01
6.80E+01,4.677E+01,-3.813E-02,-8.273E-02,1.000E-01
6.90E+01,4.786E+01,-3.319E-02,-5.795E-02,1.000E-01
7.00E+01,4.898E+01,-3.285E-02,-5.681E-02,1.000E-01
7.10E+01,5.012E+01,-3.719E-02,-8.102E-02,1.000E-01
7.20E+01,5.129E+01,-3.293E-02,-6.944E-02,1.000E-01
7.30E+01,5.248E+01,-3.500E-02,-6.738E-02,1.000E-01
7.40E+01,5.370E+01,-3.212E-02,-4.276E-02,1.000E-01
7.50E+01,5.495E+01,-2.980E-02,-9.733E-02,1.000E-01
7.60E+01,5.623E+01,-3.128E-02,-9.236E-02,1.000E-01
7.70E+01,5.754E+01,-3.490E-02,-7.794E-02,1.000E-01
7.80E+01,5.888E+01,-3.310E-02,-8.548E-02,1.000E-01
7.90E+01,6.026E+01,-3.347E-02,-7.440E-02,1.000E-01
8.00E+01,6.166E+01,-3.288E-02,-1.051E-01,1.000E-01
8.10E+01,6.310E+01,-3.466E-02,-9.550E-02,1.000E-01
8.20E+01,6.457E+01,-3.243E-02,-1.133E-01,1.000E-01
8.30E+01,6.607E+01,-3.466E-02,-5.025E-02,1.000E-01
8.40E+01,6.761E+01,-3.492E-02,-9.600E-02,1.000E-01
